steering_angle,adc_0,adc_1,time
0.4,2272,2782,1675140630.544697
0.4,2275,2786,1675140630.5947387
0.4,2275,2785,1675140630.645347
0.4,2275,2786,1675140630.695392
0.4,2273,2782,1675140630.7453456
0.4,2273,2783,1675140630.7952302
0.4,2272,2783,1675140630.845257
0.4,2275,2786,1675140630.895348
0.4,2272,2782,1675140630.9953628
0.4,2273,2783,1675140631.0445356
0.4,2272,2782,1675140631.0952318
0.5,2272,2786,1675140631.1444952
0.5,2272,2782,1675140631.195344
0.4,2276,2786,1675140631.2445962
0.4,2273,2785,1675140631.2953546
0.4,2273,2785,1675140631.3451529
0.4,2275,2785,1675140631.3951807
0.4,2273,2785,1675140631.4451158
0.4,2275,2785,1675140631.4953392
0.4,2275,2786,1675140631.545272
0.4,2273,2783,1675140631.5951524
0.4,2275,2786,1675140631.645182
0.4,2273,2783,1675140631.695356
0.4,2273,2785,1675140631.7445536
0.4,2273,2785,1675140631.795279
0.4,2273,2785,1675140631.8453507
0.5,2273,2786,1675140631.8951907
0.4,2273,2782,1675140631.9451349
0.4,2276,2787,1675140631.9952383
0.4,2273,2782,1675140632.045155
0.4,2273,2785,1675140632.095326
0.4,2272,2782,1675140632.145282
0.4,2273,2783,1675140632.1952415
0.4,2272,2783,1675140632.2452283
0.4,2276,2785,1675140632.295162
0.4,2273,2785,1675140632.345058
0.4,2273,2785,1675140632.3950877
0.4,2275,2785,1675140632.445139
0.4,2275,2783,1675140632.4950902
0.4,2272,2783,1675140632.5451124
0.4,2275,2786,1675140632.59526
0.4,2272,2783,1675140632.645315
0.4,2273,2785,1675140632.695402
0.4,2273,2785,1675140632.7451508
0.4,2273,2783,1675140632.795055
0.4,2276,2786,1675140632.8451595
0.4,2275,2783,1675140632.895164
0.4,2276,2787,1675140632.9451113
0.4,2272,2785,1675140632.9950798
0.4,2277,2787,1675140633.0451288
0.4,2273,2785,1675140633.0950725
0.4,2273,2783,1675140633.1450965
0.4,2276,2786,1675140633.1961393
0.4,2272,2782,1675140633.2450914
0.4,2275,2783,1675140633.2951965
0.4,2272,2782,1675140633.345088
0.4,2275,2785,1675140633.395263
0.4,2273,2783,1675140633.4451337
0.4,2275,2787,1675140633.495138
0.4,2275,2785,1675140633.5451303
0.4,2273,2786,1675140633.5952656
0.4,2273,2783,1675140633.6451998
0.4,2275,2786,1675140633.6962202
0.4,2272,2782,1675140633.7451093
0.4,2275,2783,1675140633.7952433
0.4,2273,2782,1675140633.8451357
0.2,2273,2781,1675140633.8951688
0.2,2273,2783,1675140633.945086
0.2,2273,2782,1675140633.995122
0.2,2275,2783,1675140634.045079
0.2,2275,2782,1675140634.0951457
0.4,2276,2785,1675140634.1450698
0.4,2275,2785,1675140634.1952326
0.4,2276,2783,1675140634.245101
0.2,2276,2783,1675140634.2950742
0.2,2275,2783,1675140634.3450627
0.2,2273,2782,1675140634.3950741
0.2,2275,2783,1675140634.445097
0.2,2273,2782,1675140634.4951215
0.2,2277,2785,1675140634.5451264
0.2,2275,2782,1675140634.5951219
0.2,2276,2785,1675140634.6450655
0.2,2275,2782,1675140634.6951976
0.2,2278,2783,1675140634.7453108
0.1,2280,2781,1675140634.7946007
0.0,2278,2777,1675140634.8452535
0.0,2281,2782,1675140634.894648
0.0,2277,2776,1675140634.9448407
0.0,2282,2782,1675140634.9952574
0.0,2278,2778,1675140635.0454488
0.0,2278,2778,1675140635.0953372
0.0,2278,2777,1675140635.1453567
0.0,2278,2778,1675140635.196194
0.0,2280,2778,1675140635.24519
0.0,2280,2777,1675140635.2951076
-0.1,2281,2778,1675140635.345169
-0.1,2280,2777,1675140635.3952105
-0.1,2278,2776,1675140635.4450958
-0.1,2282,2777,1675140635.4951687
-0.1,2280,2776,1675140635.545215
-0.2,2278,2776,1675140635.5952446
-0.1,2281,2776,1675140635.6452086
-0.2,2280,2775,1675140635.6951299
-0.2,2282,2776,1675140635.7451355
-0.2,2280,2776,1675140635.79507
-0.2,2283,2780,1675140635.8451133
-0.2,2281,2776,1675140635.8951044
-0.2,2283,2778,1675140635.945053
-0.2,2282,2777,1675140635.9950776
-0.2,2281,2777,1675140636.0450623
-0.2,2282,2778,1675140636.0951068
-0.2,2282,2777,1675140636.1450517
-0.2,2281,2776,1675140636.1954567
-0.2,2283,2777,1675140636.2451088
-0.2,2282,2773,1675140636.2952883
