steering_angle,adc_0,adc_1,Time
2.2,2252,2738,1675820759.9221613
2.0,2256,2745,1675820759.9718237
2.0,2255,2743,1675820760.0216076
2.0,2252,2735,1675820760.07198
2.0,2265,2752,1675820760.122648
2.0,2252,2738,1675820760.171727
2.0,2257,2747,1675820760.221722
2.0,2257,2747,1675820760.2714343
2.0,2256,2741,1675820760.3230736
2.0,2250,2740,1675820760.4216228
2.0,2251,2740,1675820760.4726057
2.0,2252,2738,1675820760.521934
2.2,2255,2738,1675820760.5715768
2.0,2261,2746,1675820760.6228533
2.0,2253,2742,1675820760.671886
2.0,2250,2740,1675820760.7218995
2.0,2266,2757,1675820760.7718968
2.0,2256,2742,1675820760.8218973
2.0,2251,2738,1675820760.9218986
2.0,2256,2741,1675820760.9718928
2.0,2255,2746,1675820761.0218575
2.0,2253,2740,1675820761.0718246
2.0,2267,2756,1675820761.1219387
2.0,2252,2735,1675820761.1716058
2.0,2255,2742,1675820761.2220452
2.0,2255,2746,1675820761.2722435
2.0,2252,2741,1675820761.3220847
2.0,2251,2736,1675820761.4226732
2.0,2253,2738,1675820761.472147
2.0,2250,2740,1675820761.522911
2.0,2256,2745,1675820761.5722702
2.0,2261,2747,1675820761.6222692
2.0,2257,2745,1675820761.6723192
2.0,2250,2737,1675820761.7222824
2.0,2263,2756,1675820761.7723475
2.0,2252,2738,1675820761.8222518
2.0,2253,2738,1675820761.922198
2.0,2255,2737,1675820761.972318
2.0,2255,2746,1675820762.0222118
2.0,2257,2742,1675820762.0721512
2.0,2266,2755,1675820762.1221404
2.0,2252,2736,1675820762.1720445
2.0,2253,2745,1675820762.2221463
2.5,2235,2770,1675820762.272183
3.6,2212,2780,1675820762.3222246
7.3,2155,2831,1675820762.4221225
10.0,2118,2871,1675820762.4720633
13.5,2071,2913,1675820762.5221102
17.2,2030,2961,1675820762.572064
21.6,1972,3030,1675820762.6231186
26.6,1897,3090,1675820762.672045
32.3,1833,3175,1675820762.7221513
38.9,1766,3258,1675820762.7721598
45.6,1681,3313,1675820762.8222117
51.3,1642,3358,1675820762.872208
56.6,1585,3403,1675820762.9221034
61.1,1531,3471,1675820762.9720507
66.1,1486,3508,1675820763.0221274
70.2,1447,3546,1675820763.0721588
73.7,1427,3595,1675820763.12222
76.3,1402,3591,1675820763.1721702
78.4,1383,3620,1675820763.222319
