header.stamp.sec,header.stamp.nanosec,time,header.frame_id,drive.steering_angle,drive.steering_angle_velocity,drive.speed,drive.acceleration,drive.jerk
0,0,1675398805.762454,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.7723565,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.7821674,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.7921708,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8022218,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8126101,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8227262,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8331225,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.843173,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8530555,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8638742,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8731017,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8831632,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.8930612,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.9032369,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.9129946,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.9224405,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.9323957,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.9423158,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.9525006,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.9624858,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.972409,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.9824452,,0.0,0.0,0.0,0.0,0.0
0,0,1675398805.992612,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.002591,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.0129154,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.023191,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.0331109,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.0432382,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.0532086,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.0633085,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.0731633,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.083233,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.093112,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.1032424,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.113649,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.123248,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.1331153,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.1432462,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.1531196,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.1638362,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.173099,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.18322,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.1937401,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2035198,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2137084,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2226894,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2324295,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2423441,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2523873,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2623465,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2722692,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2822034,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.2922256,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.302335,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.31245,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.3226268,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.333112,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.3432248,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.3530278,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.3638253,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.373078,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.3831072,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.393039,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4031253,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4130754,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4230587,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4330716,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4431105,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4530637,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.463706,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4731576,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4834828,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.4932752,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.5031211,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.5133343,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.523077,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.5330389,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.5430648,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.5531578,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.563107,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.573071,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.583053,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.5930467,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.6030333,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.6131644,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.623073,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.633027,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.6430426,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.6530519,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.6635234,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.673061,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.6833105,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.69318,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.703277,,0.0,0.0,0.0,0.0,0.0
0,0,1675398806.7132754,,0.0,0.0,0.0,0.0,0.0
