steering_angle,adc_0,adc_1,time
-0.3,2283,2777,1675148120.8032615
-0.3,2281,2775,1675148121.2534046
-0.3,2282,2776,1675148121.5032103
-0.3,2283,2777,1675148121.6032562
-0.3,2282,2775,1675148121.8033037
-0.3,2283,2778,1675148121.9529326
-0.3,2283,2777,1675148122.0033786
-0.3,2282,2776,1675148122.0533779
-0.3,2283,2776,1675148122.3032985
-0.3,2285,2778,1675148122.4026759
-0.3,2281,2775,1675148122.5033
-0.3,2282,2776,1675148122.6031659
-0.3,2281,2776,1675148122.703342
-0.3,2281,2776,1675148123.0032983
-0.3,2283,2777,1675148123.2532327
-0.3,2281,2775,1675148123.703354
-0.3,2282,2775,1675148123.8033073
-0.3,2281,2775,1675148124.0034893
-0.3,2282,2775,1675148124.1534312
-0.3,2282,2775,1675148124.2032964
-0.3,2283,2776,1675148124.3035066
-0.3,2281,2773,1675148124.5034432
3.3,2202,2857,1675148124.7034407
6.3,2157,2900,1675148124.7534027
33.8,1837,3226,1675148125.003426
50.5,1677,3373,1675148125.203389
57.3,1627,3431,1675148125.403297
58.3,1626,3433,1675148125.4533365
58.6,1626,3432,1675148125.5034218
58.6,1626,3430,1675148125.6034176
56.3,1655,3402,1675148126.0035574
56.0,1656,3401,1675148126.103441
56.0,1648,3411,1675148126.2026896
58.3,1607,3448,1675148126.3032928
60.5,1605,3453,1675148126.403491
60.7,1605,3455,1675148126.5032833
59.5,1642,3415,1675148126.603307
55.8,1658,3397,1675148126.802906
55.8,1657,3396,1675148127.0034943
55.7,1665,3391,1675148127.053511
55.0,1686,3365,1675148127.1032937
52.7,1696,3360,1675148127.203336
50.2,1721,3335,1675148127.5032485
50.1,1722,3336,1675148127.603275
50.2,1721,3335,1675148127.9033473
50.1,1720,3335,1675148128.003277
50.1,1721,3337,1675148128.0532544
50.1,1721,3333,1675148128.1033103
50.1,1722,3337,1675148128.1532118
50.1,1718,3335,1675148128.5034637
50.2,1720,3335,1675148128.603393
50.2,1722,3336,1675148128.7032402
50.2,1721,3336,1675148129.1033847
50.2,1720,3336,1675148129.4033003
50.2,1718,3333,1675148129.6032212
50.1,1721,3337,1675148129.803283
50.1,1721,3335,1675148129.9031742
50.2,1720,3333,1675148130.0032735
50.2,1721,3337,1675148130.2033944
50.2,1720,3335,1675148130.303283
50.1,1722,3337,1675148130.5031998
50.1,1722,3340,1675148130.603235
50.2,1720,3336,1675148130.8032866
50.2,1722,3337,1675148131.303347
50.1,1722,3337,1675148131.6033115
50.1,1721,3335,1675148131.6532848
50.1,1722,3338,1675148131.7033572
50.1,1723,3340,1675148131.8033361
50.1,1721,3336,1675148131.902718
50.1,1721,3338,1675148132.10331
