header.stamp.sec,header.stamp.nanosec,Time,header.frame_id,drive.steering_angle,drive.steering_angle_velocity,drive.speed,drive.acceleration,drive.jerk
0,0,1675815960.3566017,,-17.0,0.0,0.0,0.0,0.0
0,0,1675815960.457648,,-17.0,0.0,0.0,0.0,0.0
0,0,1675815960.557327,,-17.0,0.0,0.0,0.0,0.0
0,0,1675815960.6568236,,-17.0,0.0,0.0,0.0,0.0
0,0,1675815960.7566254,,-17.0,0.0,0.0,0.0,0.0
0,0,1675815960.857148,,-17.0,0.0,0.0,0.0,0.0
0,0,1675815960.957553,,-17.0,0.0,0.0,0.0,0.0
0,0,1675815961.056818,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.157352,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.257563,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.357492,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.4573805,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.5573862,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.6576521,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.756956,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.8576074,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815961.9576437,,-74.0,0.0,0.0,0.0,0.0
0,0,1675815962.0578773,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.157606,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.257286,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.3572564,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.4572911,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.557655,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.6577091,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.7573714,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.8572776,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815962.9573007,,-45.0,0.0,0.0,0.0,0.0
0,0,1675815963.057628,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.1574936,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.2572777,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.3573189,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.4572985,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.5563786,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.657337,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.7575963,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.8575675,,16.0,0.0,0.0,0.0,0.0
0,0,1675815963.9575737,,16.0,0.0,0.0,0.0,0.0
0,0,1675815964.05764,,74.0,0.0,0.0,0.0,0.0
0,0,1675815964.1572318,,74.0,0.0,0.0,0.0,0.0
0,0,1675815964.2573173,,74.0,0.0,0.0,0.0,0.0
