steering_angle,adc_0,adc_1,time
1.1,2267,2740,1675398805.8117447
1.1,2268,2745,1675398805.8624697
1.1,2267,2741,1675398805.9121695
1.1,2262,2735,1675398805.961792
1.1,2262,2733,1675398806.01196
1.1,2260,2736,1675398806.112277
1.1,2267,2738,1675398806.1625955
1.1,2267,2745,1675398806.2123587
1.3,2262,2736,1675398806.2617035
1.3,2261,2736,1675398806.3116975
1.1,2265,2742,1675398806.3623598
1.1,2262,2735,1675398806.4623678
1.1,2266,2738,1675398806.5122018
1.1,2261,2736,1675398806.6120737
1.1,2270,2743,1675398806.6623683
1.1,2261,2740,1675398806.7122138
1.1,2261,2735,1675398806.7624276
1.1,2262,2736,1675398806.8121781
1.1,2262,2738,1675398806.8623343
1.1,2263,2736,1675398806.9121819
1.1,2270,2743,1675398806.962329
1.1,2268,2742,1675398807.0121837
1.1,2263,2743,1675398807.0623536
1.3,2261,2736,1675398807.1121767
1.1,2267,2747,1675398807.1624475
1.1,2263,2740,1675398807.21245
1.1,2270,2743,1675398807.262426
1.3,2268,2743,1675398807.3623602
1.3,2260,2736,1675398807.4121706
1.1,2272,2748,1675398807.4623296
1.1,2262,2740,1675398807.5121906
1.1,2265,2738,1675398807.612193
1.1,2263,2736,1675398807.6623266
1.1,2265,2741,1675398807.7121763
1.1,2266,2742,1675398807.762311
1.1,2270,2750,1675398807.8121972
1.1,2260,2736,1675398807.8625376
1.1,2268,2743,1675398807.912169
1.1,2262,2737,1675398808.012217
1.1,2263,2736,1675398808.1122284
1.1,2261,2736,1675398808.1623373
1.1,2263,2738,1675398808.212285
1.3,2268,2746,1675398808.2623973
1.1,2262,2736,1675398808.3121886
1.3,2262,2736,1675398808.3622847
1.3,2263,2737,1675398808.4121861
1.3,2261,2736,1675398808.4623084
1.1,2271,2747,1675398808.5122263
1.1,2263,2738,1675398808.6122372
1.1,2262,2733,1675398808.6624544
1.1,2260,2733,1675398808.7117543
1.1,2263,2736,1675398808.761764
1.1,2262,2736,1675398808.8122385
1.1,2268,2745,1675398808.862366
1.1,2265,2735,1675398808.9123309
1.1,2262,2737,1675398808.9616644
1.3,2263,2737,1675398809.0116458
1.1,2260,2736,1675398809.1122682
1.1,2273,2746,1675398809.1624951
1.1,2270,2746,1675398809.2122386
1.1,2267,2745,1675398809.2624369
1.1,2263,2736,1675398809.3123188
1.1,2266,2742,1675398809.3617234
1.1,2265,2741,1675398809.4116967
1.1,2262,2732,1675398809.4616923
1.1,2272,2750,1675398809.511679
1.3,2268,2742,1675398809.6117077
1.1,2265,2741,1675398809.6617253
1.3,2267,2745,1675398809.7116814
1.1,2260,2735,1675398809.7617035
1.1,2273,2748,1675398809.8116767
1.1,2261,2733,1675398809.8616905
1.1,2267,2743,1675398809.911638
1.1,2267,2743,1675398809.9622402
1.3,2267,2743,1675398810.0123146
1.1,2262,2736,1675398810.062413
1.1,2262,2736,1675398810.1623569
1.1,2262,2733,1675398810.2121801
1.3,2268,2742,1675398810.2624414
1.1,2263,2740,1675398810.3122058
1.1,2261,2736,1675398810.3625715
1.1,2270,2748,1675398810.4122708
1.1,2263,2737,1675398810.46255
1.1,2260,2733,1675398810.51224
1.1,2270,2742,1675398810.6122
1.3,2261,2735,1675398810.6624708
1.3,2262,2737,1675398810.7121975
1.1,2262,2740,1675398810.7623544
1.1,2261,2737,1675398810.8120778
1.3,2267,2742,1675398810.8624752
1.3,2267,2743,1675398810.9122841
1.3,2266,2743,1675398810.9624386
1.3,2268,2745,1675398811.0122454
1.1,2262,2736,1675398811.1121662
1.1,2267,2742,1675398811.162238
1.1,2261,2735,1675398811.2121506
1.1,2265,2741,1675398811.26173
1.1,2268,2742,1675398811.3625393
1.1,2266,2745,1675398811.4122977
1.3,2258,2733,1675398811.4624214
1.1,2267,2742,1675398811.5122323
1.1,2266,2742,1675398811.6121864
1.1,2267,2738,1675398811.662377
1.1,2275,2751,1675398811.7121813
1.1,2261,2737,1675398811.7624009
1.1,2267,2742,1675398811.8123176
1.1,2261,2738,1675398811.8623688
1.1,2266,2738,1675398811.9122183
1.1,2263,2736,1675398811.962261
1.1,2266,2741,1675398812.012179
1.1,2271,2748,1675398812.1122007
1.1,2265,2743,1675398812.1624556
1.1,2261,2737,1675398812.2121778
1.3,2262,2737,1675398812.262406
1.3,2263,2733,1675398812.312249
1.3,2265,2736,1675398812.3623953
1.1,2261,2736,1675398812.4121935
1.1,2268,2743,1675398812.4624312
1.1,2267,2740,1675398812.512204
1.1,2262,2738,1675398812.562523
1.3,2262,2735,1675398812.6122916
1.1,2265,2741,1675398812.6624599
1.3,2262,2735,1675398812.7121792
1.1,2266,2740,1675398812.7622867
1.3,2267,2743,1675398812.8122144
1.3,2267,2742,1675398812.862389
1.1,2262,2738,1675398812.9121575
1.1,2273,2750,1675398812.9624767
1.1,2260,2733,1675398813.012342
1.1,2266,2737,1675398813.0625544
1.1,2263,2737,1675398813.1123497
1.1,2265,2736,1675398813.1623857
1.1,2263,2741,1675398813.2122755
1.1,2267,2742,1675398813.2625318
1.1,2261,2736,1675398813.362482
1.1,2261,2733,1675398813.4624739
1.1,2267,2741,1675398813.5122254
1.1,2265,2737,1675398813.5623784
1.1,2271,2745,1675398813.61223
1.3,2263,2736,1675398813.662386
1.3,2270,2747,1675398813.7123146
1.1,2265,2740,1675398813.7624168
1.1,2262,2735,1675398813.8122194
1.3,2258,2735,1675398813.862404
1.1,2266,2741,1675398813.9122822
1.3,2262,2736,1675398813.962352
1.1,2261,2735,1675398814.0122657
1.1,2267,2745,1675398814.1122959
1.1,2262,2735,1675398814.1624553
1.1,2267,2742,1675398814.2122355
1.1,2267,2736,1675398814.2624726
0.8,2277,2720,1675398814.3124087
-0.1,2315,2701,1675398814.3624663
-2.2,2348,2655,1675398814.4122584
-5.3,2385,2616,1675398814.4623477
-9.0,2428,2561,1675398814.5122278
-17.8,2548,2445,1675398814.6122599
-22.8,2612,2402,1675398814.662451
-27.9,2646,2362,1675398814.7122195
-31.4,2671,2333,1675398814.7624514
-37.2,2727,2277,1675398814.8624666
-39.8,2747,2253,1675398814.9118164
-41.5,2752,2237,1675398814.961966
-42.7,2766,2230,1675398815.0122535
-43.9,2771,2237,1675398815.1122575
-44.0,2772,2235,1675398815.162383
-44.0,2763,2230,1675398815.2122524
-44.0,2765,2227,1675398815.2623813
-44.0,2773,2233,1675398815.31244
-44.0,2763,2227,1675398815.362387
-44.0,2770,2231,1675398815.412308
-44.0,2768,2232,1675398815.4623947
-44.0,2776,2236,1675398815.5123029
-44.0,2765,2225,1675398815.61232
-44.0,2767,2231,1675398815.6624348
-44.0,2763,2228,1675398815.7123563
-44.0,2762,2226,1675398815.7625582
-44.0,2763,2228,1675398815.8624556
-44.0,2763,2228,1675398815.9122596
-44.0,2773,2235,1675398815.9623647
-44.0,2763,2230,1675398816.0122304
-44.0,2763,2227,1675398816.1122684
-44.0,2766,2230,1675398816.1623967
-44.0,2765,2228,1675398816.2122493
-44.0,2772,2235,1675398816.2624052
-44.0,2772,2235,1675398816.3124008
-44.0,2767,2232,1675398816.3625224
-44.0,2763,2227,1675398816.4122105
-44.0,2771,2237,1675398816.4625359
-44.0,2763,2228,1675398816.5122623
-44.0,2772,2233,1675398816.6123602
-44.0,2772,2233,1675398816.6625345
-44.0,2763,2227,1675398816.7123969
-44.0,2776,2240,1675398816.7623684
-44.0,2766,2228,1675398816.8124464
-44.0,2770,2231,1675398816.8624911
-44.0,2768,2232,1675398816.9123042
-44.0,2768,2228,1675398816.9624276
-44.0,2768,2232,1675398817.0123072
-44.0,2772,2237,1675398817.1123147
-44.0,2761,2227,1675398817.1626618
-44.0,2771,2236,1675398817.212384
-44.0,2765,2230,1675398817.2626114
-44.0,2772,2236,1675398817.3123627
-44.0,2767,2230,1675398817.3627
-44.0,2780,2240,1675398817.412497
-44.0,2763,2228,1675398817.462596
-44.0,2767,2230,1675398817.5125148
-44.0,2767,2230,1675398817.6125047
-44.0,2763,2228,1675398817.6627715
-44.0,2767,2230,1675398817.7120552
-44.0,2765,2230,1675398817.7617779
-44.0,2765,2228,1675398817.8117485
-44.0,2772,2235,1675398817.8617425
-44.0,2768,2232,1675398817.9124134
-44.0,2763,2228,1675398817.9624708
-44.0,2763,2228,1675398818.0124285
-44.0,2771,2233,1675398818.111816
-44.0,2766,2227,1675398818.1618457
-44.0,2770,2231,1675398818.2117205
-44.0,2766,2230,1675398818.261745
-44.0,2777,2240,1675398818.3618188
-44.0,2765,2230,1675398818.4118564
-44.0,2772,2233,1675398818.461813
-44.0,2763,2227,1675398818.512466
-44.0,2765,2227,1675398818.6124084
-44.0,2778,2238,1675398818.6626072
-44.1,2773,2235,1675398818.712238
-44.1,2771,2233,1675398818.7624934
-44.0,2771,2235,1675398818.8625746
-44.0,2766,2231,1675398818.912513
-44.0,2771,2233,1675398819.0124505
-44.0,2771,2236,1675398819.112389
-44.0,2771,2235,1675398819.162502
-44.0,2777,2242,1675398819.21232
-44.0,2762,2227,1675398819.2625089
-44.0,2762,2227,1675398819.3625011
-44.0,2772,2235,1675398819.4122915
-44.0,2765,2227,1675398819.4626467
-44.0,2776,2235,1675398819.5118458
-44.0,2766,2230,1675398819.611808
-44.0,2773,2235,1675398819.661753
-44.0,2767,2228,1675398819.7118065
-44.0,2765,2226,1675398819.76175
-44.0,2765,2226,1675398819.8117526
-44.0,2765,2227,1675398819.8616776
-44.0,2767,2230,1675398819.9123137
-44.0,2768,2230,1675398819.9626036
-44.0,2772,2236,1675398820.0123065
-44.0,2763,2227,1675398820.1123295
-44.0,2770,2232,1675398820.1624916
-44.0,2763,2226,1675398820.212339
-44.0,2763,2228,1675398820.2626245
-44.0,2767,2230,1675398820.312321
-44.0,2765,2231,1675398820.3624885
-44.0,2767,2228,1675398820.412323
-44.0,2773,2236,1675398820.46253
-44.0,2768,2228,1675398820.512253
-44.0,2763,2227,1675398820.612331
-44.0,2770,2236,1675398820.662478
-44.0,2766,2230,1675398820.7122977
-44.0,2773,2233,1675398820.7625287
-44.0,2772,2233,1675398820.8625255
-44.0,2763,2230,1675398820.9123592
-44.0,2777,2238,1675398820.9624898
-44.0,2761,2228,1675398821.0123284
-44.0,2767,2231,1675398821.1123981
-44.0,2765,2228,1675398821.1624799
-44.0,2768,2235,1675398821.2123818
-44.0,2771,2231,1675398821.2625365
-44.0,2765,2227,1675398821.3625195
