steering_angle,adc_0,adc_1,time
-45.9,2788,2262,1675140243.8869421
-45.9,2790,2263,1675140243.937506
-45.6,2765,2288,1675140243.9875188
-44.0,2721,2328,1675140244.037418
-40.4,2657,2393,1675140244.0867758
-35.5,2597,2452,1675140244.1370783
-29.9,2546,2500,1675140244.1873572
-25.4,2506,2546,1675140244.2371986
-21.3,2465,2583,1675140244.286821
-18.0,2440,2615,1675140244.3370657
-15.1,2420,2632,1675140244.3874052
-13.3,2415,2641,1675140244.4373424
-12.3,2407,2647,1675140244.487415
-11.7,2402,2648,1675140244.5374153
-11.0,2386,2671,1675140244.5868423
-9.8,2360,2691,1675140244.637002
-7.9,2331,2726,1675140244.687622
-5.1,2291,2763,1675140244.7377195
-2.0,2265,2792,1675140244.7876055
0.6,2226,2832,1675140244.8376799
3.8,2173,2880,1675140244.887438
8.5,2110,2947,1675140244.9375105
14.4,2027,3023,1675140244.9875476
20.6,1951,3100,1675140245.037117
27.6,1868,3198,1675140245.0869737
35.0,1801,3257,1675140245.1374743
42.0,1722,3333,1675140245.1874125
54.1,1608,3446,1675140245.2875168
58.7,1573,3487,1675140245.337617
62.7,1538,3516,1675140245.3874333
65.6,1521,3540,1675140245.4375417
67.7,1508,3548,1675140245.4874897
69.0,1497,3560,1675140245.537491
70.2,1472,3587,1675140245.5876122
72.1,1438,3620,1675140245.6375291
74.9,1403,3653,1675140245.6875749
77.6,1383,3675,1675140245.7375412
80.1,1360,3695,1675140245.7874255
81.8,1353,3706,1675140245.8373945
83.0,1347,3708,1675140245.8875315
83.5,1350,3712,1675140245.9374666
83.7,1348,3710,1675140245.9877002
83.7,1348,3706,1675140246.0373738
83.7,1350,3711,1675140246.0873344
83.6,1353,3700,1675140246.1374521
83.0,1367,3692,1675140246.1874177
82.5,1366,3688,1675140246.2374578
82.0,1368,3691,1675140246.287387
81.7,1387,3670,1675140246.3373427
80.3,1418,3642,1675140246.3874264
78.3,1440,3616,1675140246.4374242
76.2,1448,3611,1675140246.4875004
74.8,1461,3593,1675140246.537388
73.5,1487,3572,1675140246.5873668
72.0,1492,3562,1675140246.6373913
70.9,1496,3566,1675140246.6873896
70.6,1496,3558,1675140246.7874908
70.1,1517,3542,1675140246.8374622
68.8,1545,3512,1675140246.887462
66.6,1578,3481,1675140246.9375966
60.0,1663,3387,1675140247.0375452
55.6,1728,3327,1675140247.0873747
51.0,1778,3280,1675140247.1374488
46.5,1810,3252,1675140247.187399
42.9,1840,3227,1675140247.2374856
40.3,1855,3208,1675140247.2873902
38.6,1865,3206,1675140247.3374305
37.7,1862,3202,1675140247.387436
37.4,1865,3203,1675140247.4374285
37.4,1863,3203,1675140247.4874496
37.4,1863,3202,1675140247.5374336
37.5,1858,3205,1675140247.5874686
37.5,1858,3205,1675140247.6374779
37.7,1858,3206,1675140247.6875434
37.7,1858,3203,1675140247.7375464
37.5,1870,3191,1675140247.787484
36.6,1908,3143,1675140247.8374333
33.5,1971,3085,1675140247.8874974
29.2,2032,3018,1675140247.937407
17.1,2180,2873,1675140248.0376737
9.9,2270,2788,1675140248.0875158
2.7,2358,2693,1675140248.1374683
-5.5,2448,2598,1675140248.1874394
-13.0,2525,2525,1675140248.237497
-20.6,2597,2450,1675140248.2874064
-26.8,2657,2395,1675140248.3374202
-32.7,2707,2343,1675140248.3873832
-37.1,2742,2310,1675140248.4374068
-40.9,2773,2280,1675140248.4874213
-43.6,2800,2248,1675140248.537609
-46.7,2841,2207,1675140248.587565
-49.5,2870,2183,1675140248.6375027
-52.4,2887,2158,1675140248.6874342
-54.2,2898,2153,1675140248.7375968
-55.5,2907,2137,1675140248.7876406
-56.6,2925,2130,1675140248.8375874
-57.5,2923,2127,1675140248.887508
-57.8,2923,2127,1675140248.9376132
-57.9,2925,2127,1675140248.9875717
-57.9,2925,2122,1675140249.0375185
-58.4,2943,2106,1675140249.0867877
-59.6,2968,2080,1675140249.1370044
-61.5,2992,2056,1675140249.187511
-63.4,3007,2042,1675140249.23752
-65.0,3015,2036,1675140249.287457
-65.9,3012,2032,1675140249.3368144
-66.1,3018,2036,1675140249.3874407
-66.1,3012,2032,1675140249.4373698
-66.1,3016,2033,1675140249.487489
-66.1,3012,2032,1675140249.5374475
-66.5,3031,2017,1675140249.5873766
-67.3,3046,2000,1675140249.6373727
-68.4,3047,1996,1675140249.68742
-69.2,3051,1997,1675140249.7374384
-69.5,3051,1997,1675140249.7874165
-69.5,3048,1996,1675140249.8373823
-69.5,3053,1997,1675140249.8874848
-69.5,3048,1995,1675140249.9376652
-69.5,3043,2001,1675140249.9874744
-68.6,3010,2035,1675140250.037421
-66.0,2948,2098,1675140250.0874119
-61.6,2885,2166,1675140250.1374602
-55.3,2795,2255,1675140250.187416
-40.7,2612,2438,1675140250.2874677
-32.7,2523,2525,1675140250.337433
-23.7,2431,2617,1675140250.3874784
-16.1,2355,2698,1675140250.4374685
-8.7,2291,2763,1675140250.4877684
-2.9,2250,2810,1675140250.5374367
2.3,2173,2880,1675140250.5875113
7.7,2098,2958,1675140250.6372488
14.6,2030,3025,1675140250.6874914
20.6,1976,3073,1675140250.7374358
26.2,1912,3140,1675140250.7870183
31.0,1881,3180,1675140250.8374987
35.0,1855,3207,1675140250.8875155
37.3,1842,3225,1675140250.9375043
38.9,1833,3230,1675140250.9874873
39.7,1836,3235,1675140251.0375128
40.1,1833,3231,1675140251.0873728
40.1,1833,3230,1675140251.1375525
40.0,1845,3222,1675140251.187593
38.9,1878,3180,1675140251.237682
36.4,1933,3118,1675140251.287421
32.2,1993,3057,1675140251.3374293
26.7,2062,2993,1675140251.3874269
21.3,2108,2946,1675140251.437471
16.8,2142,2911,1675140251.4874911
12.7,2186,2871,1675140251.5374362
9.1,2226,2838,1675140251.5874474
6.0,2238,2816,1675140251.637464
4.1,2252,2805,1675140251.6875243
2.7,2257,2800,1675140251.7375212
2.0,2258,2797,1675140251.7874908
1.5,2272,2783,1675140251.8374846
0.6,2301,2756,1675140251.8875153
-1.5,2333,2723,1675140251.9374204
-4.6,2382,2670,1675140251.9876308
-8.3,2435,2613,1675140252.0374417
-13.4,2507,2543,1675140252.0875812
-18.8,2565,2482,1675140252.1376433
-24.5,2618,2430,1675140252.1875596
-29.1,2656,2393,1675140252.2376044
-33.2,2693,2356,1675140252.2875183
-36.3,2720,2337,1675140252.337461
-38.9,2733,2317,1675140252.3876007
-40.4,2740,2313,1675140252.4375439
-41.2,2741,2315,1675140252.4874642
-41.4,2741,2313,1675140252.5374587
-41.6,2752,2300,1675140252.587563
-42.3,2768,2283,1675140252.6375356
-44.0,2800,2248,1675140252.6875198
-46.2,2827,2225,1675140252.7375252
-48.8,2852,2197,1675140252.7876384
-50.7,2863,2186,1675140252.837709
-52.4,2871,2182,1675140252.887369
-52.9,2867,2178,1675140252.9376261
-53.1,2870,2180,1675140252.9875836
-53.1,2867,2180,1675140253.0374653
-53.1,2870,2181,1675140253.0875106
-52.8,2843,2205,1675140253.137566
-51.1,2803,2250,1675140253.187487
-48.0,2767,2286,1675140253.2375598
-44.8,2730,2322,1675140253.2874413
-41.1,2680,2370,1675140253.3375623
-37.5,2646,2405,1675140253.3875265
-33.7,2611,2436,1675140253.4374971
-30.8,2597,2452,1675140253.487582
-29.0,2576,2473,1675140253.537604
-26.9,2541,2506,1675140253.5874937
-24.3,2502,2550,1675140253.6374693
-21.1,2468,2580,1675140253.687451
-18.0,2451,2600,1675140253.7374852
-15.7,2427,2625,1675140253.7875328
-13.7,2393,2660,1675140253.837505
-10.8,2350,2705,1675140253.8874655
-7.4,2305,2751,1675140253.9375505
-3.1,2256,2797,1675140253.9874716
0.6,2216,2842,1675140254.037522
5.1,2151,2905,1675140254.0868313
9.9,2088,2968,1675140254.1370058
15.9,2028,3026,1675140254.187439
21.1,1976,3076,1675140254.2375338
26.1,1923,3130,1675140254.2874866
30.4,1892,3163,1675140254.337417
34.0,1870,3192,1675140254.387421
36.0,1863,3202,1675140254.4374433
37.0,1860,3203,1675140254.4874477
37.5,1858,3207,1675140254.5374954
37.8,1847,3216,1675140254.5875154
38.6,1828,3236,1675140254.6375487
40.4,1796,3268,1675140254.6874797
42.5,1771,3285,1675140254.7375598
45.1,1743,3320,1675140254.7876785
47.7,1700,3355,1675140254.83762
51.4,1645,3416,1675140254.8874183
55.7,1591,3466,1675140254.9375017
61.1,1516,3545,1675140254.9874291
66.7,1453,3603,1675140255.0374076
72.8,1398,3658,1675140255.0874608
77.3,1377,3680,1675140255.137553
80.8,1346,3712,1675140255.1876066
82.9,1331,3725,1675140255.237462
84.8,1321,3733,1675140255.2876134
85.7,1317,3736,1675140255.337503
86.2,1320,3743,1675140255.3874378
86.3,1318,3738,1675140255.4375246
86.4,1318,3736,1675140255.487482
86.3,1322,3738,1675140255.537633
86.1,1336,3722,1675140255.5875623
85.1,1355,3702,1675140255.6374671
83.6,1365,3696,1675140255.687485
82.7,1365,3692,1675140255.7375064
82.3,1367,3690,1675140255.7874265
81.7,1388,3668,1675140255.837447
80.2,1420,3635,1675140255.8874369
77.8,1463,3595,1675140255.937406
73.9,1516,3540,1675140255.987458
69.7,1573,3491,1675140256.037428
64.5,1638,3421,1675140256.0875223
59.1,1702,3351,1675140256.1374826
53.3,1747,3311,1675140256.1874752
49.1,1777,3281,1675140256.2374332
45.6,1811,3251,1675140256.287602
42.8,1848,3212,1675140256.3375928
39.2,1900,3155,1675140256.3874407
35.2,1945,3108,1675140256.4375033
31.2,1980,3075,1675140256.4875557
27.8,2006,3043,1675140256.5375385
25.2,2022,3035,1675140256.587472
23.6,2022,3027,1675140256.6376796
23.1,2023,3028,1675140256.6876552
23.0,2022,3028,1675140256.737637
23.0,2021,3027,1675140256.7874858
23.0,2023,3030,1675140256.8375719
23.0,2023,3030,1675140256.8867652
23.0,2025,3031,1675140256.9372988
22.9,2026,3027,1675140256.9874744
22.2,2066,2985,1675140257.0375357
19.5,2116,2938,1675140257.087519
15.8,2162,2893,1675140257.1377916
10.9,2228,2827,1675140257.1874352
6.0,2285,2776,1675140257.2375233
0.6,2340,2712,1675140257.2875087
-4.0,2390,2668,1675140257.3375025
-8.7,2425,2626,1675140257.3876693
-12.1,2455,2597,1675140257.4374568
-14.8,2470,2577,1675140257.487491
-17.0,2495,2557,1675140257.5375237
-19.1,2527,2520,1675140257.5874805
-21.8,2570,2481,1675140257.6375854
-25.5,2621,2426,1675140257.6875336
-29.5,2662,2391,1675140257.7378268
-33.6,2702,2351,1675140257.7875717
-36.9,2730,2322,1675140257.8376665
-39.9,2755,2302,1675140257.887592
-41.8,2760,2290,1675140257.9374712
-43.0,2763,2288,1675140257.987454
-43.5,2768,2282,1675140258.0374548
-44.3,2788,2266,1675140258.0873551
-45.4,2811,2238,1675140258.1375172
-47.6,2848,2203,1675140258.1874363
-50.2,2877,2175,1675140258.2374809
-53.1,2903,2146,1675140258.2874036
-55.2,2913,2133,1675140258.3374984
-56.9,2925,2127,1675140258.387635
-57.6,2921,2126,1675140258.4376695
-57.9,2922,2123,1675140258.487509
-57.9,2927,2120,1675140258.5375075
-58.5,2942,2102,1675140258.5874822
-59.6,2970,2083,1675140258.637684
-61.2,2973,2075,1675140258.687468
-62.3,2978,2070,1675140258.7375636
-62.9,2980,2070,1675140258.7876806
-63.0,2978,2070,1675140258.8375406
-63.0,2978,2068,1675140258.8874586
-63.0,2980,2070,1675140258.9375286
-62.8,2957,2090,1675140258.9874604
-61.4,2916,2135,1675140259.0376756
-57.8,2852,2197,1675140259.086874
-53.1,2791,2266,1675140259.1370077
-46.8,2702,2347,1675140259.1874447
-40.3,2631,2420,1675140259.237573
-33.2,2560,2492,1675140259.2874982
-27.0,2500,2550,1675140259.3375616
-21.6,2451,2600,1675140259.3874578
-16.5,2410,2646,1675140259.4374645
-12.6,2380,2672,1675140259.4875124
-9.7,2352,2710,1675140259.537509
-6.7,2310,2747,1675140259.5875466
-3.6,2266,2797,1675140259.6375642
0.2,2207,2848,1675140259.687524
5.3,2148,2906,1675140259.73746
10.4,2105,2951,1675140259.7874608
14.5,2070,2985,1675140259.8374982
18.1,2037,3013,1675140259.8874779
20.7,2021,3031,1675140259.9374604
22.6,2012,3038,1675140259.9875357
23.6,2003,3050,1675140260.037533
24.7,1982,3070,1675140260.0875454
26.5,1948,3103,1675140260.1376846
28.8,1936,3122,1675140260.1875336
30.5,1925,3122,1675140260.2376163
31.4,1928,3127,1675140260.287553
31.6,1927,3122,1675140260.3375647
31.6,1928,3123,1675140260.3875968
31.3,1948,3101,1675140260.4375386
30.2,1961,3088,1675140260.487535
