header.stamp.sec,header.stamp.nanosec,time,header.frame_id,velocity
0,0,1675407623.7813954,,-5050.0
0,0,1675407623.7902732,,-5037.0
0,0,1675407624.0176516,,-4620.0
0,0,1675407624.0268772,,-4616.0
0,0,1675407624.0466619,,-4594.0
0,0,1675407624.2667696,,-4025.0
0,0,1675407624.27756,,-4006.0
0,0,1675407624.2875428,,-3985.0
0,0,1675407624.3068326,,-3929.0
0,0,1675407624.5258942,,-3171.0
0,0,1675407624.536078,,-3155.0
0,0,1675407624.545722,,-3142.0
0,0,1675407624.749956,,-2394.0
0,0,1675407624.7599227,,-2371.0
0,0,1675407624.769964,,-2337.0
0,0,1675407625.0270228,,-1301.0
0,0,1675407625.0351503,,-1278.0
0,0,1675407625.0462723,,-1245.0
0,0,1675407625.2669845,,-347.0
0,0,1675407625.2758515,,-323.0
0,0,1675407625.285831,,-296.0
0,0,1675407625.2948756,,-256.0
0,0,1675407625.3069959,,-208.0
0,0,1675407625.5171437,,720.0
0,0,1675407625.5359855,,765.0
0,0,1675407625.5457704,,799.0
0,0,1675407625.750319,,1678.0
0,0,1675407625.7701979,,1745.0
0,0,1675407625.777841,,1780.0
0,0,1675407626.0271919,,2792.0
0,0,1675407626.0380802,,2820.0
0,0,1675407626.0469787,,2849.0
0,0,1675407626.3059273,,3734.0
0,0,1675407626.52696,,4404.0
0,0,1675407626.5459476,,4440.0
0,0,1675407626.5569909,,4460.0
0,0,1675407626.7539499,,4938.0
0,0,1675407626.7628963,,4941.0
0,0,1675407626.771781,,4946.0
0,0,1675407626.780999,,4959.0
0,0,1675407627.017023,,5295.0
0,0,1675407627.0259888,,5295.0
0,0,1675407627.0358675,,5296.0
0,0,1675407627.0458674,,5299.0
0,0,1675407627.0558772,,5308.0
0,0,1675407627.2662342,,5421.0
0,0,1675407627.285204,,5421.0
0,0,1675407627.3043256,,5420.0
0,0,1675407627.5270135,,5359.0
0,0,1675407627.5370913,,5356.0
0,0,1675407627.5468924,,5350.0
0,0,1675407627.5560255,,5336.0
0,0,1675407627.752965,,5074.0
0,0,1675407627.7619789,,5073.0
0,0,1675407627.7720428,,5069.0
0,0,1675407627.7832408,,5056.0
0,0,1675407627.790859,,5042.0
0,0,1675407628.025825,,4575.0
0,0,1675407628.0350106,,4569.0
0,0,1675407628.0458863,,4557.0
0,0,1675407628.0559757,,4541.0
0,0,1675407628.276164,,3962.0
0,0,1675407628.287109,,3948.0
0,0,1675407628.2959461,,3932.0
0,0,1675407628.307006,,3911.0
0,0,1675407628.5277576,,3232.0
0,0,1675407628.5370426,,3210.0
0,0,1675407628.547055,,3188.0
0,0,1675407628.5607626,,3158.0
0,0,1675407628.7504673,,2429.0
0,0,1675407628.760384,,2400.0
0,0,1675407628.7703247,,2370.0
0,0,1675407628.7778866,,2339.0
0,0,1675407629.0269978,,1302.0
0,0,1675407629.0458374,,1250.0
0,0,1675407629.0558884,,1218.0
0,0,1675407629.2851522,,322.0
0,0,1675407629.3069816,,255.0
0,0,1675407629.5177681,,-675.0
0,0,1675407629.5269887,,-708.0
0,0,1675407629.5358682,,-741.0
0,0,1675407629.546024,,-778.0
0,0,1675407629.556974,,-823.0
0,0,1675407629.7506435,,-1669.0
0,0,1675407629.760744,,-1707.0
0,0,1675407629.7680337,,-1740.0
0,0,1675407629.7772176,,-1775.0
0,0,1675407630.025829,,-2770.0
0,0,1675407630.035066,,-2792.0
0,0,1675407630.0457785,,-2820.0
0,0,1675407630.0568676,,-2854.0
0,0,1675407630.2668872,,-3629.0
0,0,1675407630.2759004,,-3650.0
0,0,1675407630.2849874,,-3672.0
0,0,1675407630.2949417,,-3699.0
0,0,1675407630.30586,,-3731.0
0,0,1675407630.5270681,,-4401.0
0,0,1675407630.54705,,-4444.0
0,0,1675407630.556902,,-4469.0
0,0,1675407630.7598443,,-4942.0
0,0,1675407630.767759,,-4949.0
0,0,1675407630.7769825,,-4961.0
0,0,1675407630.7958956,,-4986.0
0,0,1675407631.016019,,-5293.0
0,0,1675407631.0258076,,-5293.0
0,0,1675407631.045017,,-5294.0
0,0,1675407631.055913,,-5297.0
0,0,1675407631.2668855,,-5418.0
0,0,1675407631.285063,,-5418.0
0,0,1675407631.3039467,,-5418.0
0,0,1675407631.5171022,,-5368.0
0,0,1675407631.5270548,,-5362.0
0,0,1675407631.5469046,,-5362.0
0,0,1675407631.7779365,,-5054.0
0,0,1675407632.0268545,,-4599.0
0,0,1675407632.0469654,,-4569.0
0,0,1675407632.056975,,-4553.0
0,0,1675407632.2761183,,-3974.0
0,0,1675407632.2869744,,-3954.0
0,0,1675407632.3073635,,-3902.0
0,0,1675407632.5270464,,-3176.0
0,0,1675407632.7600632,,-2367.0
0,0,1675407632.769975,,-2331.0
0,0,1675407632.7769008,,-2291.0
0,0,1675407633.0268557,,-1303.0
0,0,1675407633.045763,,-1247.0
0,0,1675407633.2868001,,-291.0
0,0,1675407633.306755,,-206.0
0,0,1675407633.5270462,,742.0
0,0,1675407633.5284657,,742.0
0,0,1675407633.5360358,,770.0
0,0,1675407633.5458322,,813.0
0,0,1675407633.5558207,,864.0
0,0,1675407633.7590368,,1721.0
0,0,1675407633.7675154,,1753.0
0,0,1675407633.7774584,,1784.0
0,0,1675407634.027558,,2752.0
0,0,1675407634.0367408,,2780.0
0,0,1675407634.0376115,,2780.0
0,0,1675407634.0467703,,2813.0
0,0,1675407634.2656844,,3614.0
0,0,1675407634.2768962,,3644.0
0,0,1675407634.28567,,3670.0
0,0,1675407634.2957103,,3701.0
0,0,1675407634.3076873,,3733.0
0,0,1675407634.525854,,4395.0
0,0,1675407634.5449727,,4436.0
0,0,1675407634.5548973,,4455.0
0,0,1675407634.7503998,,4946.0
0,0,1675407634.7603478,,4954.0
0,0,1675407634.7703311,,4961.0
0,0,1675407635.0159552,,5306.0
0,0,1675407635.0268793,,5306.0
0,0,1675407635.0348396,,5307.0
0,0,1675407635.045017,,5308.0
0,0,1675407635.0569763,,5310.0
0,0,1675407635.264954,,5422.0
0,0,1675407635.283009,,5422.0
0,0,1675407635.3028874,,5422.0
0,0,1675407635.5260112,,5358.0
0,0,1675407635.5438607,,5350.0
0,0,1675407635.7600174,,5074.0
0,0,1675407636.0159128,,4589.0
0,0,1675407636.0258582,,4582.0
0,0,1675407636.0450993,,4562.0
0,0,1675407636.2658992,,3978.0
0,0,1675407636.2748961,,3963.0
0,0,1675407636.3048015,,3915.0
0,0,1675407636.5250237,,3202.0
0,0,1675407636.5348542,,3185.0
0,0,1675407636.5438948,,3159.0
0,0,1675407636.5548441,,3134.0
0,0,1675407636.7501905,,2391.0
0,0,1675407636.7600145,,2360.0
0,0,1675407636.770187,,2329.0
0,0,1675407636.7800486,,2299.0
0,0,1675407637.026133,,1300.0
0,0,1675407637.0438364,,1252.0
0,0,1675407637.264964,,353.0
0,0,1675407637.2748225,,331.0
0,0,1675407637.283884,,309.0
0,0,1675407637.302944,,248.0
0,0,1675407637.515188,,-693.0
0,0,1675407637.525211,,-722.0
0,0,1675407637.545045,,-789.0
0,0,1675407637.7502763,,-1687.0
0,0,1675407637.7520432,,-1687.0
0,0,1675407637.7703054,,-1758.0
0,0,1675407637.7777808,,-1793.0
0,0,1675407638.015913,,-2755.0
0,0,1675407638.0348456,,-2799.0
0,0,1675407638.044947,,-2823.0
0,0,1675407638.0549006,,-2855.0
0,0,1675407638.265797,,-3620.0
0,0,1675407638.284832,,-3666.0
0,0,1675407638.303912,,-3723.0
0,0,1675407638.5250487,,-4385.0
0,0,1675407638.5458643,,-4426.0
0,0,1675407638.554978,,-4442.0
0,0,1675407638.7599475,,-4943.0
0,0,1675407638.7767513,,-4966.0
0,0,1675407638.7849116,,-4981.0
0,0,1675407639.0249174,,-5293.0
0,0,1675407639.0437775,,-5294.0
0,0,1675407639.0527313,,-5296.0
0,0,1675407639.2657218,,-5418.0
0,0,1675407639.284746,,-5418.0
0,0,1675407639.3056939,,-5418.0
0,0,1675407639.5259113,,-5362.0
0,0,1675407639.5451517,,-5360.0
0,0,1675407639.7502012,,-5060.0
0,0,1675407639.7703578,,-5053.0
0,0,1675407639.7877324,,-5034.0
0,0,1675407640.0259545,,-4569.0
0,0,1675407640.045114,,-4550.0
0,0,1675407640.2650745,,-3987.0
0,0,1675407640.2829728,,-3955.0
0,0,1675407640.3049865,,-3902.0
0,0,1675407640.5269074,,-3174.0
0,0,1675407640.544876,,-3142.0
0,0,1675407640.7538416,,-2376.0
