steering_angle,adc_0,adc_1,time
-57.5,2918,2080,1675407619.499997
-57.5,2922,2081,1675407619.5501127
-57.5,2912,2076,1675407619.6000621
-57.4,2913,2076,1675407619.6503866
-57.4,2927,2085,1675407619.6992385
-57.5,2913,2076,1675407619.7502298
-57.5,2921,2082,1675407619.800215
-57.5,2918,2081,1675407619.8504686
-57.5,2918,2083,1675407619.9006667
-57.0,2891,2096,1675407619.9521785
-56.2,2903,2107,1675407620.0000482
-55.5,2887,2105,1675407620.0508084
-55.1,2881,2112,1675407620.1006083
-54.3,2865,2130,1675407620.149633
-53.1,2838,2148,1675407620.2006779
-51.5,2826,2171,1675407620.249727
-48.1,2786,2202,1675407620.349681
-46.3,2758,2232,1675407620.4007995
-44.3,2740,2256,1675407620.4498801
-42.3,2725,2267,1675407620.4998703
-40.8,2720,2288,1675407620.5504289
-39.4,2692,2305,1675407620.599678
-37.8,2670,2323,1675407620.6498907
-35.7,2637,2358,1675407620.7006702
-33.2,2610,2385,1675407620.749919
-28.7,2576,2442,1675407620.8499002
-26.3,2525,2466,1675407620.9006112
-23.5,2508,2497,1675407620.9499638
-20.9,2486,2516,1675407621.0009353
-18.9,2466,2536,1675407621.049597
-17.0,2438,2548,1675407621.1005967
-15.1,2417,2591,1675407621.1497858
-12.8,2375,2617,1675407621.1997886
-9.7,2343,2647,1675407621.249665
-4.6,2306,2691,1675407621.349941
-2.6,2281,2731,1675407621.4007208
-0.4,2240,2758,1675407621.4498448
2.3,2222,2791,1675407621.5007155
4.5,2210,2798,1675407621.5507169
6.2,2191,2828,1675407621.600651
8.0,2147,2846,1675407621.649501
10.7,2115,2876,1675407621.7006843
13.4,2095,2903,1675407621.7500796
15.9,2068,2927,1675407621.8007615
18.2,2041,2968,1675407621.8499067
20.9,2000,2996,1675407621.90056
23.9,1972,3023,1675407621.9497252
26.7,1951,3045,1675407622.0008872
28.8,1931,3058,1675407622.0506537
30.7,1903,3087,1675407622.1005821
32.9,1875,3131,1675407622.1501453
35.6,1847,3161,1675407622.1999857
37.8,1835,3177,1675407622.2500362
39.6,1825,3191,1675407622.300755
40.9,1802,3217,1675407622.3500955
42.5,1775,3241,1675407622.4000576
44.8,1755,3261,1675407622.450774
46.9,1735,3266,1675407622.50066
48.4,1730,3295,1675407622.5509448
49.6,1706,3298,1675407622.6008496
51.2,1681,3322,1675407622.6507638
53.2,1660,3340,1675407622.7008283
55.0,1646,3352,1675407622.750569
57.4,1625,3387,1675407622.8501363
58.5,1613,3402,1675407622.900584
59.6,1602,3395,1675407622.9501135
60.4,1601,3403,1675407623.0000486
60.8,1600,3398,1675407623.050138
60.9,1597,3408,1675407623.1008477
61.3,1583,3421,1675407623.1501582
61.9,1582,3418,1675407623.2007341
62.3,1585,3418,1675407623.25076
62.3,1583,3416,1675407623.35008
62.3,1582,3417,1675407623.4008684
62.3,1583,3416,1675407623.451006
62.3,1582,3416,1675407623.5008278
62.3,1588,3425,1675407623.5508173
62.3,1586,3422,1675407623.6008375
62.2,1586,3412,1675407623.6508236
62.2,1585,3411,1675407623.7006965
62.1,1587,3416,1675407623.7506893
62.1,1588,3415,1675407623.8011136
61.9,1603,3416,1675407623.8505917
61.1,1613,3388,1675407623.9001064
60.0,1632,3377,1675407623.9504495
58.5,1640,3358,1675407624.00042
57.6,1646,3367,1675407624.0505018
57.1,1656,3343,1675407624.1004937
56.2,1681,3343,1675407624.150462
54.6,1698,3302,1675407624.2004292
52.7,1725,3286,1675407624.250429
50.9,1728,3266,1675407624.300642
49.2,1755,3255,1675407624.3505483
47.5,1783,3227,1675407624.400092
45.2,1811,3210,1675407624.4501703
43.0,1826,3190,1675407624.5007617
41.3,1836,3167,1675407624.5505366
39.8,1858,3156,1675407624.6005807
38.3,1877,3117,1675407624.6506033
36.0,1920,3091,1675407624.7007987
33.5,1942,3065,1675407624.7507918
31.2,1953,3037,1675407624.8008082
28.9,1987,3005,1675407624.8505676
26.3,2031,2980,1675407624.9005935
23.6,2051,2945,1675407624.9506557
20.8,2078,2927,1675407625.0001585
16.9,2118,2886,1675407625.1005821
15.0,2142,2855,1675407625.150563
12.7,2170,2833,1675407625.2007964
10.1,2193,2806,1675407625.2505445
6.2,2236,2775,1675407625.350682
4.4,2263,2747,1675407625.4008682
1.9,2291,2707,1675407625.4506457
-0.7,2321,2682,1675407625.5009284
-2.9,2338,2656,1675407625.5506184
-5.2,2360,2631,1675407625.6007535
-7.4,2397,2607,1675407625.6507773
-10.0,2425,2565,1675407625.7007282
-12.6,2448,2540,1675407625.751353
-15.0,2473,2522,1675407625.8006833
-17.4,2508,2486,1675407625.8506596
-20.1,2537,2448,1675407625.900755
-22.9,2573,2432,1675407625.950536
-25.4,2581,2406,1675407626.000792
-28.8,2618,2372,1675407626.101532
-30.8,2657,2348,1675407626.1507258
-33.1,2673,2320,1675407626.20065
-35.3,2697,2307,1675407626.2508814
-38.5,2738,2278,1675407626.3507237
-40.3,2756,2248,1675407626.4008312
-42.1,2772,2226,1675407626.4506822
-44.0,2783,2207,1675407626.5008967
-45.3,2796,2201,1675407626.5506651
-46.6,2816,2181,1675407626.6006365
-47.9,2838,2165,1675407626.6507232
-49.5,2852,2152,1675407626.7014167
-50.8,2852,2136,1675407626.7514772
-51.6,2856,2132,1675407626.8008666
-52.5,2873,2118,1675407626.8508344
-53.5,2895,2110,1675407626.9007204
-54.6,2903,2102,1675407626.9506078
-55.3,2897,2095,1675407627.0008032
-55.8,2896,2092,1675407627.0505931
-56.0,2915,2092,1675407627.1007059
-56.4,2908,2078,1675407627.150976
-56.9,2915,2082,1675407627.2008655
-57.3,2915,2083,1675407627.2503986
-57.3,2911,2078,1675407627.3502727
-57.3,2920,2081,1675407627.4005477
-57.3,2913,2080,1675407627.4506223
-57.3,2911,2076,1675407627.500713
-57.3,2911,2080,1675407627.5508308
-57.3,2911,2080,1675407627.6007795
-57.3,2915,2080,1675407627.6506023
-57.3,2920,2085,1675407627.700753
-57.3,2910,2080,1675407627.7506847
-57.1,2912,2077,1675407627.8506193
-57.3,2910,2076,1675407627.9015396
-57.0,2903,2101,1675407627.9506354
-56.1,2890,2113,1675407628.0008047
-55.1,2881,2108,1675407628.0506737
-54.3,2868,2121,1675407628.1005576
-53.5,2851,2143,1675407628.1506982
-52.0,2827,2163,1675407628.2005417
-50.3,2821,2190,1675407628.2506993
-47.5,2788,2208,1675407628.3506434
-46.1,2766,2233,1675407628.4007504
-44.3,2745,2258,1675407628.4507582
-42.5,2726,2267,1675407628.5007584
-41.1,2723,2287,1675407628.5508306
-39.8,2697,2292,1675407628.6008291
-38.2,2682,2325,1675407628.6507535
-36.2,2651,2353,1675407628.7007794
-33.9,2622,2382,1675407628.7515764
-31.4,2602,2401,1675407628.8008082
-29.0,2572,2430,1675407628.8507655
-26.8,2531,2461,1675407628.9008584
-23.7,2505,2497,1675407628.9506283
-20.9,2473,2516,1675407629.0011528
-18.6,2463,2531,1675407629.0512369
-16.9,2438,2557,1675407629.10114
-15.0,2405,2585,1675407629.1508107
-12.3,2372,2628,1675407629.2008388
-9.3,2346,2658,1675407629.2508337
-4.6,2306,2686,1675407629.3508282
-2.9,2283,2726,1675407629.4002142
-0.7,2246,2752,1675407629.4499927
1.7,2233,2782,1675407629.5006332
5.9,2182,2832,1675407629.600707
8.2,2142,2851,1675407629.6516933
10.9,2116,2882,1675407629.7008579
13.7,2093,2901,1675407629.752018
16.1,2071,2933,1675407629.8007014
18.2,2040,2960,1675407629.8510087
20.8,2005,2997,1675407629.9007509
23.8,1971,3025,1675407629.951133
26.7,1955,3056,1675407630.0011475
28.9,1930,3067,1675407630.0511498
31.1,1898,3092,1675407630.1012635
33.4,1867,3132,1675407630.1507006
36.2,1838,3165,1675407630.2007124
38.4,1831,3180,1675407630.250671
40.0,1818,3197,1675407630.3006508
41.2,1795,3202,1675407630.3506737
42.9,1767,3231,1675407630.4006608
45.0,1746,3255,1675407630.4507642
47.0,1732,3267,1675407630.5006711
48.7,1721,3292,1675407630.5506928
50.0,1705,3308,1675407630.6007943
51.8,1671,3325,1675407630.6507258
53.8,1653,3337,1675407630.7007031
55.5,1645,3356,1675407630.7508142
56.6,1647,3373,1675407630.8009467
57.4,1630,3386,1675407630.8507168
58.4,1607,3392,1675407630.9007404
59.5,1601,3397,1675407630.9508698
60.5,1598,3407,1675407631.0011957
60.9,1598,3400,1675407631.0507843
61.1,1592,3410,1675407631.1010425
