steering_angle,adc_0,adc_1,time
-8.0,2386,2671,1675137987.6887357
-9.2,2391,2660,1675137987.7387855
-9.9,2395,2665,1675137987.7893898
-10.1,2392,2663,1675137987.8391304
-10.1,2390,2663,1675137987.8894792
-9.9,2373,2678,1675137987.939158
-8.8,2346,2708,1675137987.9892251
-6.6,2325,2732,1675137988.039264
-4.8,2323,2733,1675137988.0887892
-4.0,2326,2736,1675137988.138949
-3.9,2321,2730,1675137988.189365
-3.9,2322,2732,1675137988.2392635
-3.9,2322,2732,1675137988.2894077
-3.9,2323,2731,1675137988.3393586
-4.5,2357,2698,1675137988.3889453
-6.7,2410,2643,1675137988.438788
-10.1,2436,2613,1675137988.4893367
-13.6,2461,2585,1675137988.5393977
-15.7,2477,2572,1675137988.5894427
-17.3,2480,2566,1675137988.6392682
-18.0,2483,2568,1675137988.689408
-18.2,2482,2568,1675137988.739463
-18.2,2480,2568,1675137988.789367
-18.1,2475,2571,1675137988.8395176
-17.3,2432,2623,1675137988.8887913
-14.3,2377,2677,1675137988.9389212
-10.2,2335,2726,1675137988.9894114
-5.7,2296,2763,1675137989.0392997
-2.4,2266,2791,1675137989.0893228
0.4,2247,2813,1675137989.1393461
2.3,2235,2821,1675137989.1892948
3.5,2228,2827,1675137989.2393856
4.2,2228,2830,1675137989.2893474
4.3,2230,2828,1675137989.3393807
4.3,2228,2826,1675137989.389353
4.2,2242,2818,1675137989.4395988
3.3,2265,2792,1675137989.4894617
1.8,2271,2783,1675137989.539442
0.8,2272,2786,1675137989.5893502
0.5,2271,2786,1675137989.6394207
0.6,2271,2786,1675137989.6896281
0.6,2271,2783,1675137989.7392824
0.6,2272,2786,1675137989.7893846
0.6,2260,2796,1675137989.8392305
1.5,2226,2835,1675137989.8894157
4.3,2178,2877,1675137989.939598
7.8,2143,2911,1675137989.9893985
11.4,2110,2943,1675137990.0398393
14.1,2093,2962,1675137990.0894797
16.2,2081,2970,1675137990.1393666
17.2,2083,2973,1675137990.1893876
17.7,2080,2970,1675137990.238814
17.7,2081,2971,1675137990.2887454
17.7,2090,2967,1675137990.3392339
16.8,2123,2927,1675137990.3893197
14.5,2168,2887,1675137990.4395623
10.5,2217,2841,1675137990.4893281
6.7,2250,2810,1675137990.5395525
3.5,2268,2785,1675137990.5893729
1.3,2290,2771,1675137990.6391246
-0.2,2293,2761,1675137990.6893163
-1.1,2295,2758,1675137990.7391987
-1.5,2297,2761,1675137990.789344
-1.6,2295,2760,1675137990.839266
-1.5,2295,2760,1675137990.8892658
-1.1,2272,2787,1675137990.9393497
0.1,2243,2815,1675137990.9894397
2.6,2220,2836,1675137991.0395021
4.4,2220,2841,1675137991.0893607
5.3,2218,2840,1675137991.139218
5.3,2220,2840,1675137991.1893542
5.3,2221,2840,1675137991.239343
5.1,2233,2827,1675137991.28943
4.2,2246,2811,1675137991.3393047
3.3,2248,2812,1675137991.3894012
2.8,2248,2810,1675137991.4393969
2.6,2253,2805,1675137991.4895165
2.2,2268,2795,1675137991.5394366
1.4,2272,2782,1675137991.5892754
0.6,2273,2783,1675137991.639513
0.4,2273,2783,1675137991.6893358
0.4,2275,2786,1675137991.7393486
0.4,2273,2783,1675137991.7894006
0.4,2275,2785,1675137991.8394544
0.9,2241,2813,1675137991.8894415
2.8,2195,2858,1675137991.939386
6.0,2168,2886,1675137991.9894137
8.9,2148,2908,1675137992.0392046
11.3,2132,2923,1675137992.08938
12.7,2127,2926,1675137992.139535
13.4,2125,2927,1675137992.1893923
13.6,2126,2927,1675137992.2392864
13.6,2126,2926,1675137992.2892866
13.3,2152,2903,1675137992.3391538
11.5,2198,2862,1675137992.389314
8.2,2235,2822,1675137992.4393127
4.7,2275,2783,1675137992.489377
1.1,2311,2747,1675137992.5393403
-1.7,2332,2726,1675137992.589307
-4.0,2353,2703,1675137992.6393638
-6.0,2362,2693,1675137992.6886995
-7.4,2383,2670,1675137992.7389433
-9.0,2412,2638,1675137992.78938
-11.5,2446,2608,1675137992.8392265
-13.9,2456,2588,1675137992.8893492
-15.7,2467,2585,1675137992.9392366
-16.5,2466,2582,1675137992.98934
-16.9,2468,2583,1675137993.039448
-16.9,2467,2583,1675137993.0895236
-16.8,2466,2587,1675137993.139475
-16.1,2421,2627,1675137993.1895604
-13.5,2372,2681,1675137993.2392368
-9.7,2332,2721,1675137993.2892945
-6.3,2316,2743,1675137993.339454
-3.8,2308,2751,1675137993.3895242
-2.9,2306,2748,1675137993.4393783
-2.6,2305,2748,1675137993.4888134
-2.5,2307,2748,1675137993.5395112
-2.5,2307,2748,1675137993.5893283
-2.6,2312,2740,1675137993.6392183
-3.0,2326,2732,1675137993.6892364
-3.8,2330,2727,1675137993.738674
-4.4,2330,2728,1675137993.789478
-4.5,2330,2730,1675137993.8393989
-4.4,2326,2730,1675137993.8893807
-4.4,2326,2728,1675137993.9391532
-4.3,2327,2728,1675137993.9894025
-4.0,2311,2747,1675137994.0395005
-3.1,2291,2766,1675137994.0893083
-1.7,2283,2778,1675137994.1393428
-0.6,2280,2773,1675137994.1894205
-0.2,2282,2777,1675137994.2394285
-0.2,2281,2777,1675137994.2893574
-0.3,2290,2767,1675137994.3392406
-0.9,2313,2745,1675137994.3896065
-3.0,2362,2690,1675137994.4392812
-6.3,2401,2651,1675137994.4894917
-9.9,2422,2627,1675137994.5395138
-12.4,2443,2606,1675137994.589388
-14.2,2450,2598,1675137994.6393878
-15.1,2452,2602,1675137994.6892931
-15.5,2448,2597,1675137994.73932
-15.5,2450,2601,1675137994.7893345
-15.3,2447,2602,1675137994.8393147
-14.7,2412,2641,1675137994.889322
-12.4,2361,2693,1675137994.9395993
-8.5,2317,2745,1675137994.989253
-4.4,2267,2787,1675137995.0394619
0.0,2228,2828,1675137995.0894754
3.4,2197,2858,1675137995.1395044
6.4,2173,2881,1675137995.1894774
9.1,2140,2917,1675137995.239357
11.9,2095,2958,1675137995.2888095
15.9,2037,3018,1675137995.3389883
20.6,1967,3080,1675137995.389351
26.8,1888,3172,1675137995.439482
32.9,1840,3221,1675137995.4895327
38.6,1781,3273,1675137995.5393639
43.0,1741,3316,1675137995.589436
47.4,1701,3352,1675137995.6394615
50.9,1672,3382,1675137995.689452
53.6,1656,3401,1675137995.7393467
55.5,1647,3410,1675137995.789603
56.4,1647,3410,1675137995.8393283
56.7,1648,3412,1675137995.8893738
56.7,1648,3408,1675137995.9396
56.6,1652,3411,1675137995.989645
56.5,1651,3408,1675137996.0395145
56.5,1651,3407,1675137996.0894115
56.5,1651,3406,1675137996.1395793
56.6,1638,3422,1675137996.189608
57.5,1615,3441,1675137996.2395613
59.0,1603,3455,1675137996.2895288
60.3,1603,3461,1675137996.3394716
60.8,1598,3456,1675137996.3895645
61.0,1601,3458,1675137996.4394042
61.0,1600,3456,1675137996.4896019
61.0,1601,3457,1675137996.5393221
60.8,1617,3443,1675137996.5896404
59.8,1632,3425,1675137996.6394753
58.5,1646,3411,1675137996.6887393
57.2,1665,3393,1675137996.7389748
55.3,1703,3351,1675137996.7895577
