header.stamp.sec,header.stamp.nanosec,Time,header.frame_id,velocity
0,0,1675668069.434142,,-7444.0
0,0,1675668069.4437487,,-7425.0
0,0,1675668069.4638822,,-7404.0
0,0,1675668069.473523,,-7389.0
0,0,1675668069.6937158,,-6742.0
0,0,1675668069.7029831,,-6702.0
0,0,1675668069.7234628,,-6671.0
0,0,1675668069.92426,,-5959.0
0,0,1675668069.9343998,,-5935.0
0,0,1675668070.185365,,-4990.0
0,0,1675668070.1951983,,-4968.0
0,0,1675668070.204199,,-4946.0
0,0,1675668070.2246003,,-4890.0
0,0,1675668070.443893,,-4056.0
0,0,1675668070.4540603,,-4020.0
0,0,1675668070.4643054,,-3981.0
0,0,1675668070.4744804,,-3944.0
0,0,1675668070.684088,,-2928.0
0,0,1675668070.703884,,-2848.0
0,0,1675668070.724002,,-2740.0
0,0,1675668070.9322956,,-1677.0
0,0,1675668070.9424005,,-1642.0
0,0,1675668070.9512098,,-1609.0
0,0,1675668070.975068,,-1530.0
0,0,1675668071.184352,,-590.0
0,0,1675668071.1944737,,-554.0
0,0,1675668071.204461,,-523.0
0,0,1675668071.2244184,,-462.0
0,0,1675668071.4342937,,387.0
0,0,1675668071.444156,,416.0
0,0,1675668071.6844573,,1213.0
0,0,1675668071.6945932,,1229.0
0,0,1675668071.7044861,,1247.0
0,0,1675668071.7144153,,1269.0
0,0,1675668071.724623,,1289.0
0,0,1675668071.9141018,,1793.0
0,0,1675668071.925554,,1805.0
0,0,1675668071.9343987,,1815.0
0,0,1675668071.944159,,1831.0
0,0,1675668072.184251,,2200.0
0,0,1675668072.2042696,,2202.0
0,0,1675668072.4440339,,2354.0
0,0,1675668072.4641962,,2354.0
0,0,1675668072.4742181,,2354.0
0,0,1675668072.6844652,,2298.0
0,0,1675668072.7255235,,2276.0
0,0,1675668072.9235659,,1989.0
0,0,1675668072.9335468,,1984.0
0,0,1675668073.184043,,1492.0
0,0,1675668073.2043111,,1473.0
0,0,1675668073.44708,,884.0
0,0,1675668073.4561682,,868.0
0,0,1675668073.4670994,,847.0
0,0,1675668073.4772077,,825.0
0,0,1675668073.6841433,,98.0
0,0,1675668073.6945865,,75.0
0,0,1675668073.7155848,,25.0
0,0,1675668073.725433,,-2.0
0,0,1675668073.9673567,,-948.0
0,0,1675668074.1846006,,-1879.0
0,0,1675668074.2052405,,-1943.0
0,0,1675668074.214388,,-1974.0
0,0,1675668074.2250392,,-2014.0
0,0,1675668074.4342687,,-2926.0
0,0,1675668074.4444156,,-2956.0
0,0,1675668074.454774,,-2984.0
0,0,1675668074.464403,,-3015.0
0,0,1675668074.4724483,,-3045.0
0,0,1675668074.685504,,-4099.0
0,0,1675668074.7053576,,-4166.0
0,0,1675668074.715262,,-4210.0
0,0,1675668074.7253718,,-4257.0
0,0,1675668074.9344528,,-5268.0
0,0,1675668074.9444551,,-5302.0
0,0,1675668074.9664607,,-5382.0
0,0,1675668075.184862,,-6235.0
0,0,1675668075.1948607,,-6257.0
0,0,1675668075.2047877,,-6280.0
0,0,1675668075.22696,,-6333.0
0,0,1675668075.4351623,,-7022.0
0,0,1675668075.4451792,,-7042.0
0,0,1675668075.4653552,,-7093.0
0,0,1675668075.4741693,,-7119.0
0,0,1675668075.6838822,,-7758.0
0,0,1675668075.7234635,,-7835.0
0,0,1675668075.91688,,-8289.0
0,0,1675668075.925878,,-8301.0
0,0,1675668075.9348128,,-8310.0
0,0,1675668076.1853375,,-8637.0
0,0,1675668076.1951122,,-8638.0
0,0,1675668076.2051773,,-8638.0
0,0,1675668076.223981,,-8641.0
0,0,1675668076.4351187,,-8766.0
0,0,1675668076.4451065,,-8766.0
0,0,1675668076.4651,,-8766.0
0,0,1675668076.6861298,,-8728.0
0,0,1675668076.705294,,-8727.0
0,0,1675668076.7261083,,-8716.0
0,0,1675668076.92337,,-8442.0
0,0,1675668076.9326344,,-8437.0
0,0,1675668076.9414418,,-8432.0
0,0,1675668077.1845284,,-8006.0
0,0,1675668077.2225497,,-7976.0
0,0,1675668077.445502,,-7468.0
0,0,1675668077.4640923,,-7420.0
0,0,1675668077.4744895,,-7396.0
0,0,1675668077.6854162,,-6721.0
0,0,1675668077.7043407,,-6714.0
0,0,1675668077.7242208,,-6661.0
0,0,1675668077.9255183,,-5959.0
0,0,1675668077.9349294,,-5927.0
0,0,1675668077.944125,,-5896.0
0,0,1675668078.185383,,-5009.0
0,0,1675668078.2044094,,-4965.0
0,0,1675668078.224391,,-4908.0
0,0,1675668078.4351861,,-4102.0
0,0,1675668078.4452305,,-4079.0
0,0,1675668078.4641366,,-4016.0
0,0,1675668078.474727,,-3977.0
0,0,1675668078.6846578,,-2966.0
0,0,1675668078.6950092,,-2926.0
0,0,1675668078.704334,,-2880.0
0,0,1675668078.722479,,-2789.0
0,0,1675668078.9168725,,-1767.0
0,0,1675668078.925434,,-1733.0
0,0,1675668078.9583685,,-1598.0
0,0,1675668079.1855047,,-570.0
0,0,1675668079.20528,,-516.0
0,0,1675668079.2250264,,-465.0
0,0,1675668079.444321,,384.0
0,0,1675668079.4641407,,442.0
0,0,1675668079.474183,,475.0
0,0,1675668079.6848288,,1180.0
0,0,1675668079.7040699,,1218.0
0,0,1675668079.7243567,,1264.0
0,0,1675668079.9145424,,1797.0
0,0,1675668079.9257383,,1808.0
0,0,1675668079.9343956,,1820.0
0,0,1675668079.9442315,,1837.0
0,0,1675668079.9583163,,1863.0
0,0,1675668080.185252,,2200.0
0,0,1675668080.204476,,2201.0
0,0,1675668080.2147925,,2204.0
0,0,1675668080.225187,,2211.0
0,0,1675668080.434196,,2351.0
0,0,1675668080.4442685,,2352.0
0,0,1675668080.464464,,2354.0
0,0,1675668080.684242,,2300.0
0,0,1675668080.6944046,,2299.0
0,0,1675668080.7043374,,2295.0
0,0,1675668080.7242544,,2276.0
0,0,1675668080.9244387,,1997.0
0,0,1675668080.9334576,,1992.0
0,0,1675668080.955448,,1970.0
0,0,1675668081.1838026,,1498.0
0,0,1675668081.2036798,,1482.0
0,0,1675668081.22325,,1461.0
0,0,1675668081.4452116,,877.0
0,0,1675668081.4541204,,861.0
0,0,1675668081.4640763,,843.0
0,0,1675668081.6840951,,99.0
0,0,1675668081.704055,,55.0
0,0,1675668081.7238665,,5.0
0,0,1675668081.9147518,,-741.0
0,0,1675668081.9255536,,-770.0
0,0,1675668081.934494,,-796.0
0,0,1675668081.9424553,,-824.0
