steering_angle,adc_0,adc_1,time
-0.4,2285,2775,1675148317.857077
-0.4,2282,2773,1675148317.9576528
-0.4,2283,2775,1675148318.2571244
-0.4,2287,2777,1675148318.3574505
-0.4,2282,2775,1675148318.4577622
-0.4,2285,2776,1675148318.5576897
-0.4,2283,2773,1675148318.657724
-0.4,2283,2775,1675148318.7576554
-0.4,2283,2775,1675148318.8577375
-0.4,2285,2776,1675148318.957746
-0.4,2283,2773,1675148319.057062
-0.4,2283,2773,1675148319.157779
-0.4,2286,2776,1675148319.3577518
-0.4,2282,2773,1675148319.4576478
-0.4,2283,2775,1675148319.5575542
-0.4,2285,2775,1675148319.6576867
-0.4,2286,2775,1675148319.757637
-0.4,2282,2772,1675148319.8577225
-0.4,2283,2773,1675148319.9576514
-0.4,2285,2776,1675148320.1577783
-0.4,2283,2773,1675148320.2577577
-0.4,2283,2773,1675148320.3576207
-0.4,2285,2776,1675148320.457588
-0.4,2283,2773,1675148320.657668
-0.4,2283,2775,1675148320.757611
-0.4,2285,2776,1675148320.8577409
-0.4,2285,2775,1675148320.957485
-0.4,2283,2775,1675148321.0577607
-0.4,2285,2775,1675148321.1577663
-0.4,2286,2776,1675148321.257814
-0.4,2283,2773,1675148321.3577013
-0.4,2285,2775,1675148321.4576852
-0.4,2285,2776,1675148321.557733
-0.4,2286,2776,1675148321.6577072
-0.4,2283,2776,1675148321.9577327
-0.4,2285,2775,1675148322.0577035
-0.4,2283,2775,1675148322.1577258
-0.4,2285,2776,1675148322.2577844
-0.4,2286,2777,1675148322.357857
-0.4,2285,2775,1675148322.457311
-0.4,2283,2775,1675148322.557684
-0.4,2285,2776,1675148322.657704
-0.4,2286,2778,1675148322.757646
-0.4,2285,2775,1675148322.8577485
-0.4,2283,2775,1675148322.9576757
-0.4,2285,2777,1675148323.057673
-0.4,2286,2777,1675148323.1578374
-0.4,2285,2773,1675148323.2577493
-0.4,2285,2776,1675148323.3577287
-0.4,2286,2777,1675148323.4579134
-0.4,2287,2778,1675148323.5577195
-0.4,2285,2776,1675148323.8579128
-0.4,2287,2777,1675148323.9578996
-0.3,2276,2782,1675148324.0578132
1.7,2230,2831,1675148324.1578882
7.2,2143,2915,1675148324.2577493
16.3,2012,3040,1675148324.3577058
63.0,1522,3533,1675148324.7569888
72.0,1402,3652,1675148324.8579464
82.1,1307,3748,1675148324.9576988
89.8,1243,3816,1675148325.0577483
93.6,1227,3827,1675148325.1577394
94.4,1228,3830,1675148325.3578503
87.3,1382,3672,1675148325.5578084
74.8,1532,3522,1675148325.65791
63.6,1628,3430,1675148325.7577724
56.2,1688,3363,1675148325.857825
52.0,1711,3340,1675148325.957604
50.9,1712,3342,1675148326.0577862
51.4,1676,3380,1675148326.1577735
56.9,1601,3458,1675148326.257802
62.6,1558,3497,1675148326.3577943
64.9,1553,3503,1675148326.4577587
65.0,1556,3503,1675148326.557746
62.8,1625,3433,1675148326.6577616
47.9,1777,3282,1675148326.8578906
44.5,1791,3270,1675148326.957827
43.7,1786,3270,1675148327.157776
54.9,1637,3423,1675148327.357823
58.4,1620,3436,1675148327.4574842
59.1,1620,3436,1675148327.5577626
58.7,1627,3433,1675148327.7577894
57.5,1662,3390,1675148327.8579376
53.6,1710,3342,1675148327.957937
50.3,1728,3328,1675148328.057231
49.5,1728,3330,1675148328.157766
53.7,1661,3391,1675148328.3578498
55.4,1662,3392,1675148328.457969
55.4,1672,3385,1675148328.55779
51.9,1748,3306,1675148328.6578734
46.3,1783,3276,1675148328.7578323
43.4,1803,3257,1675148328.8579853
42.7,1805,3258,1675148328.9577765
42.7,1803,3256,1675148329.05774
42.7,1795,3262,1675148329.1577914
48.2,1716,3342,1675148329.3578367
51.0,1707,3346,1675148329.457715
51.3,1707,3348,1675148329.557819
51.3,1716,3340,1675148329.6578314
41.6,1816,3243,1675148329.957657
41.5,1815,3245,1675148330.0578425
41.5,1817,3246,1675148330.1578007
42.9,1760,3296,1675148330.2577794
48.3,1716,3338,1675148330.3577318
50.9,1708,3347,1675148330.4578645
52.3,1692,3361,1675148330.6580014
52.7,1692,3361,1675148330.7579281
52.7,1693,3362,1675148330.857947
51.0,1737,3321,1675148330.957892
48.1,1756,3300,1675148331.0579147
46.8,1757,3300,1675148331.1578465
47.0,1741,3320,1675148331.2578301
50.3,1717,3337,1675148331.4578872
50.8,1698,3357,1675148331.5577636
52.6,1691,3367,1675148331.6579852
52.9,1691,3366,1675148331.757963
52.2,1703,3353,1675148332.1577373
51.8,1702,3352,1675148332.257971
51.0,1731,3326,1675148332.3579886
49.2,1733,3326,1675148332.4578428
49.1,1733,3323,1675148332.5579004
49.1,1732,3323,1675148332.6577702
50.4,1693,3363,1675148332.7577198
53.2,1680,3378,1675148332.8579705
54.0,1677,3375,1675148332.957778
54.0,1678,3376,1675148333.0577316
54.0,1678,3377,1675148333.1578681
54.0,1678,3377,1675148333.2578287
53.5,1702,3351,1675148333.3578298
51.2,1715,3342,1675148333.457847
50.6,1717,3341,1675148333.5577807
50.6,1716,3341,1675148333.657833
52.1,1672,3380,1675148333.7579055
55.1,1660,3396,1675148333.8578048
55.6,1661,3396,1675148333.9579933
55.1,1686,3367,1675148334.0579798
51.3,1736,3321,1675148334.1579545
48.4,1745,3313,1675148334.257904
46.9,1777,3287,1675148334.3578024
45.2,1777,3285,1675148334.7578938
45.2,1776,3283,1675148334.8578615
45.2,1777,3285,1675148334.9579086
45.2,1777,3287,1675148335.0577786
46.3,1753,3306,1675148335.157917
47.3,1753,3307,1675148335.257722
48.3,1721,3340,1675148335.3579564
50.5,1716,3347,1675148335.4578183
50.9,1713,3345,1675148335.557763
50.9,1713,3345,1675148335.6579382
