header.stamp.sec,header.stamp.nanosec,Time,header.frame_id,velocity
0,0,1675815970.2293253,,-7072.0
0,0,1675815970.2303534,,-7072.0
0,0,1675815970.4704244,,-4895.0
0,0,1675815970.4888008,,-4680.0
0,0,1675815970.5103738,,-4441.0
0,0,1675815970.720441,,-2601.0
0,0,1675815970.7294002,,-2522.0
0,0,1675815970.739279,,-2438.0
0,0,1675815970.749019,,-2354.0
0,0,1675815970.7585888,,-2286.0
0,0,1675815970.9587708,,-1394.0
0,0,1675815970.9815254,,-1325.0
0,0,1675815970.9915106,,-1303.0
0,0,1675815971.0014458,,-1286.0
0,0,1675815971.219427,,-1189.0
0,0,1675815971.2294292,,-1189.0
0,0,1675815971.4694848,,-1617.0
0,0,1675815971.4793694,,-1655.0
0,0,1675815971.4893982,,-1700.0
0,0,1675815971.4986694,,-1749.0
0,0,1675815971.5104227,,-1806.0
0,0,1675815971.730533,,-3277.0
0,0,1675815971.7494495,,-3384.0
0,0,1675815971.7594175,,-3430.0
0,0,1675815971.9591005,,-4175.0
0,0,1675815971.98272,,-4219.0
0,0,1675815971.9936965,,-4233.0
0,0,1675815972.0054145,,-4241.0
0,0,1675815972.2196844,,-4274.0
0,0,1675815972.2288487,,-4274.0
0,0,1675815972.2388535,,-4275.0
0,0,1675815972.2486296,,-4276.0
0,0,1675815972.259066,,-4280.0
0,0,1675815972.4696834,,-4767.0
0,0,1675815972.471222,,-4767.0
0,0,1675815972.4896016,,-4853.0
0,0,1675815972.4988794,,-4901.0
0,0,1675815972.5096552,,-4958.0
0,0,1675815972.7193446,,-6349.0
0,0,1675815972.7293656,,-6404.0
0,0,1675815972.7592697,,-6561.0
0,0,1675815972.958386,,-7279.0
0,0,1675815972.9674456,,-7298.0
0,0,1675815972.9833395,,-7331.0
0,0,1675815972.9924166,,-7346.0
0,0,1675815973.0024252,,-7358.0
0,0,1675815973.21863,,-7387.0
0,0,1675815973.2277167,,-7387.0
0,0,1675815973.2388186,,-7388.0
0,0,1675815973.2482092,,-7389.0
0,0,1675815973.259598,,-7392.0
0,0,1675815973.4704237,,-7898.0
0,0,1675815973.4904423,,-7986.0
0,0,1675815973.500388,,-8030.0
0,0,1675815973.5105448,,-8083.0
0,0,1675815973.7188473,,-8810.0
0,0,1675815973.7287867,,-8826.0
0,0,1675815973.738722,,-8840.0
0,0,1675815973.749014,,-8850.0
0,0,1675815973.9587884,,-8894.0
0,0,1675815973.9675708,,-8894.0
0,0,1675815973.9826143,,-8894.0
0,0,1675815974.0036519,,-8895.0
0,0,1675815974.2185595,,-8897.0
0,0,1675815974.228524,,-8897.0
0,0,1675815974.2385771,,-8897.0
0,0,1675815974.2493434,,-8898.0
0,0,1675815974.259258,,-8901.0
0,0,1675815974.4704037,,-9209.0
