steering_angle,adc_0,adc_1,time
-0.3,2282,2721,1675399010.9662564
-0.3,2280,2715,1675399011.0168955
-0.3,2277,2716,1675399011.1165345
-0.3,2287,2726,1675399011.166952
-0.3,2280,2716,1675399011.2169168
-0.3,2286,2725,1675399011.2668664
-0.3,2280,2717,1675399011.3171139
-0.3,2288,2726,1675399011.3663402
-0.3,2287,2727,1675399011.4163978
-0.3,2283,2718,1675399011.4665124
-0.3,2282,2720,1675399011.5169172
-0.4,2282,2722,1675399011.5669663
-0.3,2286,2726,1675399011.6169052
-0.3,2280,2717,1675399011.6668162
-0.3,2288,2725,1675399011.7169068
-0.3,2280,2718,1675399011.7669492
-0.3,2286,2726,1675399011.8671803
-0.3,2287,2725,1675399011.916915
-0.3,2280,2717,1675399011.9669104
-0.3,2278,2716,1675399012.016876
-0.3,2281,2718,1675399012.0670404
-0.3,2285,2725,1675399012.1166446
-0.3,2280,2716,1675399012.1663928
-0.3,2287,2726,1675399012.2161949
-0.3,2281,2718,1675399012.266213
-0.3,2278,2717,1675399012.316249
-0.3,2287,2726,1675399012.3662055
-0.3,2286,2722,1675399012.416261
-0.3,2278,2717,1675399012.4662483
-0.3,2285,2721,1675399012.5163567
-0.3,2280,2718,1675399012.6161652
-0.3,2288,2728,1675399012.6662364
-0.3,2288,2726,1675399012.7168238
-0.3,2287,2725,1675399012.7668116
-0.3,2280,2716,1675399012.816782
-0.3,2288,2727,1675399012.8668191
-0.3,2280,2717,1675399012.9167976
-0.3,2282,2720,1675399012.9667451
-0.4,2288,2720,1675399013.016709
-0.7,2298,2700,1675399013.0663311
-2.2,2347,2657,1675399013.1168478
-4.9,2387,2621,1675399013.1668162
-8.5,2430,2586,1675399013.2167125
-12.1,2471,2517,1675399013.2662992
-16.8,2538,2462,1675399013.3168497
-21.8,2600,2390,1675399013.3668337
-27.9,2672,2327,1675399013.4168139
-33.6,2733,2272,1675399013.4667494
-39.3,2786,2222,1675399013.5168161
-48.9,2895,2108,1675399013.6168
-54.1,2941,2048,1675399013.666837
-59.1,2992,1993,1675399013.7168174
-63.1,3032,1965,1675399013.7667658
-66.6,3052,1950,1675399013.8169968
-69.0,3077,1915,1675399013.866827
-71.3,3096,1901,1675399013.9167814
-73.1,3100,1886,1675399013.9667814
-74.2,3120,1883,1675399014.01679
-75.4,3130,1888,1675399014.1169393
-75.4,3108,1876,1675399014.1662714
-75.4,3116,1881,1675399014.216958
-75.4,3113,1876,1675399014.2670367
-75.4,3113,1878,1675399014.316926
-75.4,3113,1890,1675399014.366893
-74.4,3080,1925,1675399014.4168904
-72.2,3033,1960,1675399014.4669049
-68.6,2985,2005,1675399014.5169134
-60.1,2878,2121,1675399014.616835
-55.1,2805,2181,1675399014.666865
-48.9,2743,2272,1675399014.7169013
-42.9,2658,2332,1675399014.7669125
-35.7,2580,2427,1675399014.816868
-28.7,2500,2503,1675399014.866883
-20.9,2411,2600,1675399014.9169083
-13.3,2296,2696,1675399014.966853
-3.9,2191,2815,1675399015.0169532
14.5,2010,2987,1675399015.1169558
22.2,1933,3066,1675399015.1668394
29.8,1846,3172,1675399015.2168958
36.8,1768,3231,1675399015.2669013
44.5,1678,3316,1675399015.3168826
51.0,1635,3377,1675399015.3668952
56.9,1583,3416,1675399015.4169495
61.6,1520,3480,1675399015.4668357
66.6,1472,3530,1675399015.5169387
75.5,1396,3603,1675399015.616995
78.3,1386,3627,1675399015.66703
80.2,1358,3641,1675399015.7169394
82.0,1345,3658,1675399015.7668097
83.5,1341,3656,1675399015.8169856
84.2,1337,3673,1675399015.8669355
84.5,1335,3666,1675399015.9169087
84.7,1340,3675,1675399015.9668977
84.7,1335,3665,1675399016.0171442
84.7,1338,3673,1675399016.0669115
84.7,1338,3668,1675399016.116971
84.1,1375,3646,1675399016.1669316
82.0,1412,3590,1675399016.2170227
78.7,1467,3537,1675399016.2668762
74.0,1516,3490,1675399016.3169012
69.7,1568,3432,1675399016.3668692
64.7,1636,3371,1675399016.416948
59.1,1718,3288,1675399016.466905
