header.stamp.sec,header.stamp.nanosec,time,header.frame_id,drive.steering_angle,drive.steering_angle_velocity,drive.speed,drive.acceleration,drive.jerk
0,0,1675148563.7988825,,0.0,0.0,0.0,0.0,0.0
0,0,1675148563.8995316,,0.0,0.0,0.0,0.0,0.0
0,0,1675148563.9993513,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.0992928,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.198396,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.2992291,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.3993492,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.4982963,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.599103,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.6994116,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.799421,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.8992527,,0.0,0.0,0.0,0.0,0.0
0,0,1675148564.9985974,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.0992086,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.199142,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.2991793,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.3994155,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.4993937,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.5983222,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.6994383,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.799209,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.8992994,,0.0,0.0,0.0,0.0,0.0
0,0,1675148565.9992213,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.0990925,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.199421,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.2992396,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.3994932,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.4993782,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.5994341,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.6993585,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.7993398,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.8991802,,0.0,0.0,0.0,0.0,0.0
0,0,1675148566.999226,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.0989332,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.1989663,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.2991314,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.3988936,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.4994633,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.599309,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.699046,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.7989166,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.8989282,,0.0,0.0,0.0,0.0,0.0
0,0,1675148567.9991112,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.0990534,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.199085,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.298334,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.3989153,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.4991302,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.59905,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.6989408,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.7992494,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.898958,,0.0,0.0,0.0,0.0,0.0
0,0,1675148568.9983408,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.099159,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.1991496,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.2990968,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.3989117,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.4991088,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.5990362,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.6990309,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.7990494,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.8992486,,0.0,0.0,0.0,0.0,0.0
0,0,1675148569.9993832,,0.0,0.0,0.0,0.0,0.0
0,0,1675148570.0991857,,0.0,0.0,0.0,0.0,0.0
0,0,1675148570.1989202,,0.0,0.0,0.0,0.0,0.0
0,0,1675148570.2990932,,0.0,0.0,0.0,0.0,0.0
0,0,1675148570.3989372,,0.0,0.0,0.0,0.0,0.0
0,0,1675148570.4989994,,0.0,0.0,0.0,0.0,0.0
0,0,1675148570.5991766,,50.0,0.0,0.0,0.0,0.0
0,0,1675148570.6990483,,50.0,0.0,0.0,0.0,0.0
0,0,1675148570.7990158,,50.0,0.0,0.0,0.0,0.0
0,0,1675148570.8992589,,50.0,0.0,0.0,0.0,0.0
0,0,1675148570.9993758,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.0993845,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.1992962,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.2991457,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.39939,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.4993165,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.5993178,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.6991272,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.799341,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.8991964,,50.0,0.0,0.0,0.0,0.0
0,0,1675148571.9992647,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.0993805,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.1993196,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.2994695,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.3993928,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.4989953,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.5992672,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.699089,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.799131,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.8993273,,50.0,0.0,0.0,0.0,0.0
0,0,1675148572.9993641,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.0993118,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.199362,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.299333,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.399291,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.49917,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.5994217,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.6991992,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.7990904,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.8993566,,50.0,0.0,0.0,0.0,0.0
0,0,1675148573.9992204,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.0993223,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.1991642,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.2992933,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.3992743,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.4993336,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.5991476,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.6991916,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.799218,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.8992321,,50.0,0.0,0.0,0.0,0.0
0,0,1675148574.9993844,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.0991616,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.199162,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.299007,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.3993382,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.499252,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.5992482,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.6994355,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.7993908,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.899226,,50.0,0.0,0.0,0.0,0.0
0,0,1675148575.9992898,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.0993366,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.1992452,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.299346,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.3989985,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.499183,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.5991035,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.6991446,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.7993202,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.898128,,50.0,0.0,0.0,0.0,0.0
0,0,1675148576.999216,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.098928,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.1993268,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.299225,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.3989522,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.4991348,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.599136,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.6991596,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.7991953,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.8991897,,50.0,0.0,0.0,0.0,0.0
0,0,1675148577.9991097,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.0994222,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.199297,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.299053,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.3993196,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.4993467,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.5992734,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.699294,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.7989912,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.8990424,,50.0,0.0,0.0,0.0,0.0
0,0,1675148578.9989467,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.0990975,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.1990256,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.2990713,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.3991008,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.4991953,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.599102,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.69933,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.79918,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.8990352,,50.0,0.0,0.0,0.0,0.0
0,0,1675148579.999218,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.0991473,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.1991012,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.299184,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.39914,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.4992313,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.5992312,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.6992192,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.7993932,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.8991826,,50.0,0.0,0.0,0.0,0.0
0,0,1675148580.9991252,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.0992656,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.1991076,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.2991238,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.3991303,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.4994416,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.5996475,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.6994247,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.7993493,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.8990524,,50.0,0.0,0.0,0.0,0.0
0,0,1675148581.999414,,50.0,0.0,0.0,0.0,0.0
